"Player","WS/48","Composite.Rating","Age","Is.Big","Is.Guard"
"RJ Barrett",-0.015,1.11713218608369,1,0,1
"Marvin Bagley III",0.11,1.11713218608369,1,1,0
"Harry Giles",0.056,1.07996039649683,2,1,0
"Ben Simmons",0.162,1.11713218608369,3,0,1
"Jahlil Okafor",0.037,1.11713218608369,2,1,0
"Andrew Wiggins",0.034,1.11713218608369,1,0,0
"Nerlens Noel",0.083,1.11713218608369,2,1,0
"Anthony Davis",0.159,1.11713218608369,1,1,0
"Harrison Barnes",0.065,1.11713218608369,2,0,0
"Derrick Favors",0.091,1.11713218608369,1,1,0
"Brandon Jennings",0.075,1.11713218608369,2,0,1
"OJ Mayo",0.052,1.11713218608369,3,0,1
"Greg Oden",0.167,1.11713218608369,3,1,0
"Josh McRoberts",0.073,1.11713218608369,3,1,0
"Dwight Howard",0.131,1.11713218608369,1,1,0
"LeBron James",0.078,1.11713218608369,1,0,1
"Amare Stoudemire",0.116,1.11713218608369,2,1,0
"Eddie Griffin",0.061,1.07996039649683,1,1,0
"Eddy Curry",0.075,1.11713218608369,1,1,0
"Zion Williamson",0.134,1.00561681732312,1,1,0
"Michael Porter Jr",0.147,1.07996039649683,3,1,0
"Josh Jackson",-0.018,1.11713218608369,2,0,0
"Skal Labissiere",0.099,1.07996039649683,2,1,0
"Myles Turner",0.109,0.931273238149411,1,1,0
"Jabari Parker",0.088,1.04278860690998,1,1,0
"Shabazz Muhammad",0.053,1.11713218608369,3,0,1
"Austin Rivers",-0.038,1.07996039649683,2,0,1
"Kyrie Irving",0.125,1.07996039649683,1,0,1
"John Wall",0.041,1.07996039649683,2,0,1
"Michael Beasley",0.081,1.00561681732312,2,1,0
"Kevin Durant",0.04,1.07996039649683,1,0,1
"Gerald Green",0.064,0.55955534228085,2,0,1
"Luol Deng",0.086,1.07996039649683,1,0,0
"Shaun Livingston",0.008,1.07996039649683,1,0,1
"Carmelo Anthony",0.098,1.07996039649683,1,0,0
"Kwame Brown",0.048,0.931273238149411,1,1,0
"Zach Randolph",0.098,1.11713218608369,2,1,0
"Samardo Samuels",0.002,1.00561681732312,4,1,0
"Cam Reddish",-0.011,1.07996039649683,2,0,0
"Deandre Ayton",0.128,1.04278860690998,2,1,0
"Jayson Tatum",0.139,1.04278860690998,1,0,0
"Brandon Ingram",-0.007,1.00561681732312,1,0,0
"Julius Randle",0.035,1.07996039649683,3,1,0
"Michael KiddGilchrist",0.051,1.04278860690998,1,0,0
"Enes Kanter",0.095,0.894101448562555,1,1,0
"DeMarcus Cousins",0.022,1.04278860690998,2,1,0
"Byron Mullens",0.007,0.856929658975699,4,1,0
"Kevin Love",0.124,1.07996039649683,2,1,0
"Brandan Wright",0.142,1.04278860690998,2,1,0
"Monta Ellis",0.028,1.07996039649683,2,0,1
"Raymond Felton",0.051,1.04278860690998,3,0,1
"Al Jefferson",0.123,1.04278860690998,2,1,0
"Dajuan Wagner",0.011,1.04278860690998,1,0,1
"Gerald Wallace",0.071,1.00561681732312,1,0,0
"Mo Bamba",0.106,1.00561681732312,2,1,0
"Lonzo Ball",0.053,1.04278860690998,2,0,1
"Jaylen Brown",0.053,1.04278860690998,2,0,0
"Tyus Jones",0.027,0.894101448562555,1,0,1
"Aaron Gordon",0.06,1.00561681732312,1,1,0
"Bradley Beal",0.082,1.00561681732312,1,0,1
"Jared Sullinger",0.146,1.07996039649683,2,1,0
"John Henson",0.109,0.968445027736267,4,1,0
"Jrue Holiday",0.032,1.07996039649683,1,0,1
"Eric Gordon",0.082,1.04278860690998,2,0,1
"Spencer Hawes",0.033,1.00561681732312,1,1,0
"Paul Davis",0.066,0.894101448562555,4,1,0
"Rudy Gay",0.011,0.968445027736267,2,0,0
"Martell Webster",0.039,1.04278860690998,1,0,0
"DeSagana Diop",-0.124,0.856929658975699,2,1,0
"Darius Miles",0.068,1.04278860690998,1,0,0
"Romeo Langford",0.037,0.968445027736267,2,0,1
"Wendell Carter Jr",0.08,0.894101448562555,1,1,0
"Bam Adebayo",0.148,0.856929658975699,2,1,0
"Henry Ellenson",-0.071,0.819757869388842,2,1,0
"Andrew Harrison",0.051,0.968445027736267,4,0,1
"Emmanuel Mudiay",-0.049,1.07996039649683,1,0,1
"Kyle Anderson",0.044,1.04278860690998,3,0,0
"Josh Selby",-0.105,0.931273238149411,2,0,1
"Avery Bradley",-0.139,1.00561681732312,2,0,1
"Ty Lawson",0.135,0.968445027736267,4,0,1
"Tyreke Evans",0.097,1.04278860690998,2,0,1
"Derrick Rose",0.078,0.968445027736267,2,0,1
"Shannon Brown",0.015,1.04278860690998,3,0,1
"Lou Williams",-0.036,0.968445027736267,1,0,1
"Josh Smith",0.055,1.00561681732312,1,0,0
"James Michael McAdoo",0.177,0.931273238149411,4,1,0
"Nassir Little",0.048,1.04278860690998,1,1,0
"DeAaron Fox",-0.014,0.931273238149411,2,0,1
"Trey Lyles",0.079,0.708242500628275,2,1,0
"Joel Embiid",0.117,0.55955534228085,4,1,0
"Steven Adams",0.114,0.968445027736267,2,1,0
"Quincy Miller",0.002,0.968445027736267,3,1,0
"Brandon Knight",0.029,1.00561681732312,2,0,1
"Kyle Singler",0.048,0.931273238149411,6,0,0
"Xavier Henry",0.021,0.931273238149411,1,0,1
"DeMar DeRozan",0.066,0.968445027736267,2,0,1
"Thaddeus Young",0.14,0.931273238149411,1,1,0
"Andray Blatche",0.026,0.485211763107139,1,1,0
"Robert Swift",0.052,0.856929658975699,2,1,0
"Chris Bosh",0.119,0.968445027736267,1,1,0
"Kendrick Perkins",0.065,0.968445027736267,2,1,0
"Tyson Chandler",0.062,1.00561681732312,1,1,0
"DeShawn Stevenson",-0.071,0.931273238149411,1,0,1
"Keldon Johnson",0.131,0.708242500628275,2,0,0
"Collin Sexton",-0.011,0.931273238149411,2,0,1
"Markelle Fultz",0.043,0.968445027736267,1,0,1
"Cheick Diallo",0.111,0.931273238149411,2,1,0
"Dakari Johnson",0.178,0.819757869388842,4,1,0
"Stanley Johnson",0.018,1.04278860690998,1,0,0
"Anthony Bennett",-0.028,0.931273238149411,2,1,0
"Marquis Teague",-0.031,0.894101448562555,1,0,1
"Tobias Harris",0.087,0.968445027736267,1,0,0
"Tyler Hansbrough",0.07,1.00561681732312,6,1,0
"Wayne Ellington",0.014,0.856929658975699,4,0,1
"Charlie Villanueva",0.079,0.485211763107139,3,1,0
"Marvin Williams",0.069,0.894101448562555,1,1,0
"Rashad McCants",0.058,1.00561681732312,3,0,1
"Chris Duhon",0.09,0.931273238149411,4,0,1
"Gary Trent Jr",-0.092,0.633898921454562,2,0,1
"Miles Bridges",0.083,0.782586079801986,2,0,0
"Ivan Rabb",0.109,0.968445027736267,2,1,0
"Justin Jackson",0.031,0.819757869388842,4,0,0
"James Young",0.047,0.819757869388842,1,0,1
"Terrence Jones",0.128,0.745414290215131,3,1,0
"Greg Monroe",0.143,0.931273238149411,2,1,0
"Lance Stephenson",-0.093,0.856929658975699,2,0,1
"Chase Budinger",0.1,0.894101448562555,3,0,0
"Donte Greene",-0.074,0.856929658975699,2,0,0
"Julian Wright",0.126,0.931273238149411,2,0,0
"Leon Powe",0.116,0.819757869388842,5,1,0
"Shelden Williams",0.07,0.856929658975699,5,1,0
"Randolph Morris",-0.061,0.782586079801986,4,1,0
"Anfernee Simons",0.02,0.894101448562555,1,0,1
"Jaren Jackson",0.119,0.819757869388842,13,0,1
"Caleb Swanigan",-0.003,0.55955534228085,2,1,0
"Malik Monk",0,0.819757869388842,1,0,1
"KarlAnthony Towns",0.151,0.968445027736267,2,1,0
"Perry Jones",-0.003,0.856929658975699,3,0,0
"Devin Ebanks",0.144,0.0391502880648658,3,0,1
"Darrell Arthur",0.055,0.745414290215131,2,1,0
"Jerryd Bayless",0.019,0.894101448562555,2,0,1
"Andrew Bynum",0.007,0.782586079801986,0,1,0
"Chris Paul",0.178,0.931273238149411,2,0,1
"Sebastian Telfair",-0.013,0.931273238149411,1,0,1
"Caron Butler",0.086,-0.592770134911686,4,0,0
"Aaron Harrison",-0.014,0.931273238149411,5,0,1
"Kevin Knox",-0.03,0.782586079801986,1,1,0
"Frank Jackson",0.018,0.633898921454562,2,0,1
"Marcus Smart",0.077,0.819757869388842,2,0,1
"Tristan Thompson",0.038,0.819757869388842,2,1,0
"Ed Davis",0.119,0.819757869388842,3,1,0
"Nick Calathes",0.062,0.745414290215131,6,0,1
"Malik Hairston",0.045,0.819757869388842,3,0,1
"CJ Miles",0.076,0.708242500628275,0,0,1
"Sean May",0.047,0.819757869388842,3,1,0
"TJ Ford",0.022,0.522383552693995,2,0,1
"Jared Jeffries",0.049,0.819757869388842,3,0,0
"Mustafa Shakur",-0.112,0.225009235999146,8,0,1
"Theo Pinson",0.004,0.596727131867706,5,0,1
"Mitchell Robinson",0.217,0.856929658975699,2,1,0
"Terrance Ferguson",0.077,0.708242500628275,1,0,1
"Jarell Martin",0.1,0.708242500628275,3,1,0
"Gary Harris",-0.046,0.55955534228085,2,0,1
"Brook Lopez",0.112,0.819757869388842,2,1,0
"DeAndre Jordan",0.079,0.671070711041419,2,1,0
"David Lee",0.116,0.782586079801986,4,0,0
"JR Smith",0.006,0.299352815172858,1,0,1
"Omar Cook",-0.068,0.745414290215131,4,0,1
"Khem Birch",0.15,0.745414290215131,7,1,0
"PJ Washington",0.054,0.633898921454562,3,1,0
"Jonathan Isaac",0.021,0.894101448562555,2,1,0
"Stephen Zimmerman",-0.005,0.782586079801986,2,1,0
"Kevon Looney",0.155,0.745414290215131,2,1,0
"PJ Hairston",0.022,0.745414290215131,4,0,1
"Ryan Kelly",0.081,0.633898921454562,4,1,0
"Will Barton",-0.028,0.782586079801986,4,0,1
"Kemba Walker",0.009,0.596727131867706,3,0,1
"Patrick Patterson",0.134,0.782586079801986,3,1,0
"James White",0.108,0.336524604759714,6,0,1
"LaMarcus Aldridge",0.118,0.708242500628275,3,1,0
"Naz Reid",0.074,0.485211763107139,2,1,0
"Shavlik Randolph",0.105,0.633898921454562,4,1,0
"Darius Bazley",0.024,0.522383552693995,1,1,0
"Lonnie Walker",0.019,0.522383552693995,2,0,1
"TJ Leaf",0.082,0.55955534228085,2,1,0
"DAngelo Russell",0.001,0.55955534228085,1,0,1
"Noah Vonleh",0.085,0.856929658975699,1,1,0
"Cody Zeller",0.09,0.782586079801986,3,1,0
"AlFarouq Aminu",0.022,0.894101448562555,2,0,0
"JJ Hickson",0.101,0.819757869388842,2,1,0
"Daequan Cook",-0.013,0.671070711041419,2,0,1
"JJ Redick",0.134,0.745414290215131,4,0,1
"Amir Johnson",0.183,0.633898921454562,1,1,0
"Linas Kleiza",0.111,0.633898921454562,3,1,0
"Alex Poythress",0.099,0.856929658975699,5,1,0
"Isaiah Briscoe",0.023,0.745414290215131,4,0,1
"Jawad Williams",0.069,0.745414290215131,8,0,1
"Dwayne Bacon",-0.007,0.55955534228085,4,0,1
"Isaiah Whitehead",-0.023,0.633898921454562,3,0,1
"Cory Joseph",0.001,0.671070711041419,2,0,1
"Jordan Hamilton",0.055,0.336524604759714,3,0,0
"DJ White",0.157,0.671070711041419,4,1,0
"Kosta Koufos",0.112,0.708242500628275,1,1,0
"Javaris Crittenton",0.004,0.708242500628275,2,0,1
"Brandon Bass",0.013,0.708242500628275,2,1,0
"Wayne Selden",0.016,0.671070711041419,4,0,1
"Wenyen Gabriel",0.042,0.671070711041419,4,1,0
"Jarrett Allen",0.141,0.596727131867706,1,1,0
"Justise Winslow",0.054,0.671070711041419,1,0,0
"Archie Goodwin",0.018,0.782586079801986,1,0,1
"Chris Singleton",0.052,0.633898921454562,4,0,0
"Gerald Henderson",0.056,0.782586079801986,4,0,1
"Brandon Rush",0.024,0.299352815172858,5,0,1
"Rajon Rondo",0.064,0.37369639434657,2,0,1
"Bracey Wright",0.054,0.708242500628275,3,0,1
"Von Wafer",-0.163,0.745414290215131,4,0,1
"David Harrison",0.09,0.671070711041419,4,1,0
"Andre Brown",-0.002,0.745414290215131,7,1,0
"Antonio Blakeney",-0.006,0.596727131867706,3,0,1
"Darius Garland",-0.035,0.596727131867706,2,0,1
"Jalen Brunson",0.077,0.448039973520282,4,0,1
"Bobby Portis",0.066,0.633898921454562,2,1,0
"Reggie Bullock",0.019,0.596727131867706,4,0,0
"Tony Wroten",0.017,0.485211763107139,1,0,1
"Elliot Williams",0.105,0.596727131867706,4,0,1
"Quincy Pondexter",0.06,0.150665656825434,4,0,0
"Blake Griffin",0.152,0.55955534228085,3,1,0
"Jon Brockman",0.125,0.522383552693995,4,1,0
"Glen Davis",0.128,0.745414290215131,4,1,0
"Mo Williams",0.011,0.55955534228085,3,0,1
"Alton Ford",0.083,0.633898921454562,2,1,0
"Tony Bradley",0.234,0.448039973520282,4,1,0
"Sam Dekker",0.104,0.448039973520282,4,1,0
"Adreian Payne",-0.033,0.150665656825434,5,1,0
"Vernon Macklin",0.161,0.55955534228085,7,1,0
"Daniel Orton",0.129,0.448039973520282,3,1,0
"Anthony Randolph",0.069,0.596727131867706,1,1,0
"Daniel Gibson",0.098,0.448039973520282,2,0,1
"Travis Outlaw",0.085,0.633898921454562,2,0,0
"Dorian FinneySmith",0.041,0.336524604759714,5,1,0
"Omari Spellman",0.07,0.522383552693995,3,1,0
"Devin Booker",0.043,0.299352815172858,1,0,1
"Glenn Robinson",0.122,0.299352815172858,8,0,0
"Mason Plumlee",0.176,0.485211763107139,5,1,0
"Iman Shumpert",0.068,0.336524604759714,3,0,1
"James Anderson",0.051,0.113493867238578,3,0,0
"Kris Humphries",-0.019,0.782586079801986,1,1,0
"Allonzo Trier",0.03,0.708242500628275,5,0,1
"Andre Barrett",0.041,0.596727131867706,4,0,1
"Isaiah Hicks",-0.003,0.633898921454562,5,1,0
"Lance Thomas",0.088,0.410868183933426,5,1,0
"Rakeem Christmas",0.099,0.37369639434657,7,1,0
"Rashad Vaughn",-0.036,0.782586079801986,1,0,1
"Meyers Leonard",0.097,0.0763220776517221,2,1,0
"Damion James",0.015,0.596727131867706,5,0,0
"Willie Warren",0.065,0.671070711041419,3,0,1
"DeJuan Blair",0.147,-0.18388044945627,2,1,0
"Mario Chalmers",0.095,0.856929658975699,4,0,1
"Corey Brewer",-0.005,0.225009235999146,3,0,0
"Hassan Adams",0.095,0.410868183933426,4,0,1
"Wayne Simien",0.096,0.410868183933426,4,1,0
"Trevor Ariza",0.073,0.448039973520282,1,0,0
"Danuel House",0.066,0.0763220776517221,6,0,1
"Thomas Bryant",0.178,0.225009235999146,3,1,0
"Tyler Ennis",-0.04,0.299352815172858,2,0,1
"Michael CarterWilliams",0.026,0.225009235999146,4,0,1
"Chris Wilcox",0.062,0.299352815172858,2,1,0
"Aaron Miles",-0.015,0.596727131867706,4,0,1
"Anthony Roberson",0.031,0.55955534228085,5,0,1
"JaMychal Green",0.119,0.522383552693995,6,1,0
"Kobi Simmons",-0.013,0.262181025586002,2,0,1
"Rodney Purvis",-0.056,0.522383552693995,5,0,1
"Nickeil AlexanderWalker",-0.015,-0.0723650806957022,3,0,1
"Grayson Allen",0.002,0.262181025586002,5,0,1
"Rondae HollisJefferson",0.094,0.55955534228085,3,0,0
"Nick Johnson",-0.02,0.336524604759714,4,0,1
"Ricky Ledo",-0.112,0.671070711041419,4,0,1
"Tyler Zeller",0.048,0.485211763107139,5,1,0
"Jonny Flynn",0.002,0.410868183933426,2,0,1
"JR Giddens",0.021,0.633898921454562,6,0,0
"Robin Lopez",0.083,0.448039973520282,2,1,0
"Rawle Alkins",-0.042,0.37369639434657,3,0,1
"Keita BatesDiop",0.032,0.0763220776517221,5,0,0
"Deyonta Davis",0.097,0.18783744641229,2,1,0
"Ray McCallum",0.02,0.336524604759714,4,0,1
"DaJuan Summers",0.002,0.18783744641229,4,0,0
"Antoine Wright",-0.062,0.485211763107139,3,0,1
"Cedric Bozeman",-0.077,0.448039973520282,5,0,1
"DeQuan Jones",0.007,0.37369639434657,4,0,0
"Jaylen Hoard",0.094,0.448039973520282,2,0,0
"Coby White",0.026,0.150665656825434,1,0,1
"Trae Young",0.062,0.410868183933426,2,0,1
"Jabari Bird",0.098,0.410868183933426,5,0,1
"Kris Dunn",0.004,0.410868183933426,4,0,1
"Malachi Richardson",0.028,0.0763220776517221,3,0,1
"Kentavious CaldwellPope",0.055,0.596727131867706,2,0,1
"James Harden",0.124,0.522383552693995,2,0,1
"Dee Brown",0.024,0.448039973520282,4,0,1
"Jamal Sampson",0.156,0.299352815172858,2,1,0
"Darius Washington",0.012,0.596727131867706,4,0,1
"Luke Kennard",0.085,0.37369639434657,3,0,1
"Thomas Robinson",-0.002,0.113493867238578,3,1,0
"Luke Babbitt",-0.143,0.448039973520282,3,0,0
"Danny Green",0.083,0.596727131867706,4,0,1
"Earl Clark",-0.033,0.262181025586002,4,1,0
"Cedric Simmons",0.025,-0.109536870282558,3,1,0
"Justin Reed",0.121,0.336524604759714,5,0,0
"Yogi Ferrell",0.072,0.225009235999146,5,0,1
"Tyler Ulis",0.029,0.485211763107139,3,0,1
"Derrick Caracter",0.057,0.522383552693995,4,1,0
"Solomon Alabi",0.083,0.262181025586002,5,1,0
